# Dimensionless graviational wave background energy density Omega_GW(f) 
#    1:f [Hz]                 2:Omega_GW(f)        
       2.691534803927e-03       9.516974250189e-19 
       2.754228703338e-03       1.009069911236e-18 
       2.818382931264e-03       1.069853826431e-18 
       2.884031503127e-03       1.134248183226e-18 
       2.951209226666e-03       1.202463989619e-18 
       3.019951720402e-03       1.274725694746e-18 
       3.090295432514e-03       1.351268249311e-18 
       3.162277660168e-03       1.432343505429e-18 
       3.235936569296e-03       1.518209401784e-18 
       3.311311214826e-03       1.609140239690e-18 
       3.388441561392e-03       1.705431308456e-18 
       3.467368504525e-03       1.807390746297e-18 
       3.548133892336e-03       1.915349607337e-18 
       3.630780547701e-03       2.029654853131e-18 
       3.715352290972e-03       2.150668766450e-18 
       3.801893963206e-03       2.278782821929e-18 
       3.890451449943e-03       2.414404917379e-18 
       3.981071705535e-03       2.557969457471e-18 
       4.073802778041e-03       2.709932181545e-18 
       4.168693834703e-03       2.870775402812e-18 
       4.265795188016e-03       3.041008605622e-18 
       4.365158322402e-03       3.221174757835e-18 
       4.466835921510e-03       3.411841530001e-18 
       4.570881896149e-03       3.613608249403e-18 
       4.677351412872e-03       3.827113142822e-18 
       4.786300923226e-03       4.053021891651e-18 
       4.897788193684e-03       4.292049156274e-18 
       5.011872336273e-03       4.544942140521e-18 
       5.128613839914e-03       4.812467330891e-18 
       5.248074602498e-03       5.095432965870e-18 
       5.370317963703e-03       5.394714775898e-18 
       5.495408738576e-03       5.711232589669e-18 
       5.623413251903e-03       6.045956200288e-18 
       5.754399373372e-03       6.399912319057e-18 
       5.888436553556e-03       6.774186927502e-18 
       6.025595860744e-03       7.169921978180e-18 
       6.165950018615e-03       7.588315538290e-18 
       6.309573444802e-03       8.030644022544e-18 
       6.456542290347e-03       8.498247536691e-18 
       6.606934480076e-03       8.992537291965e-18 
       6.760829753920e-03       9.515005985209e-18 
       6.918309709189e-03       1.006722797748e-17 
       7.079457843841e-03       1.065085815995e-17 
       7.244359600750e-03       1.126764730996e-17 
       7.413102413009e-03       1.191943892571e-17 
       7.585775750292e-03       1.260816674503e-17 
       7.762471166287e-03       1.333590262172e-17 
       7.943282347243e-03       1.410479561849e-17 
       8.128305161641e-03       1.491701920574e-17 
       8.317637711027e-03       1.577484575653e-17 
       8.511380382024e-03       1.668074605050e-17 
       8.709635899561e-03       1.763735840633e-17 
       8.912509381337e-03       1.864745496884e-17 
       9.120108393559e-03       1.971392689395e-17 
       9.332543007970e-03       2.083983545473e-17 
       9.549925860214e-03       2.202840735015e-17 
       9.772372209558e-03       2.328304263182e-17 
       1.000000000000e-02       2.460729736363e-17 
       1.023292992281e-02       2.600492755496e-17 
       1.047128548051e-02       2.747988698422e-17 
       1.071519305238e-02       2.903638864403e-17 
       1.096478196143e-02       3.067874050308e-17 
       1.122018454302e-02       3.241154422374e-17 
       1.148153621497e-02       3.423972754229e-17 
       1.174897554940e-02       3.616831208094e-17 
       1.202264434617e-02       3.820264885850e-17 
       1.230268770812e-02       4.034844225300e-17 
       1.258925411794e-02       4.261157566423e-17 
       1.288249551693e-02       4.499780012622e-17 
       1.318256738556e-02       4.751302937725e-17 
       1.348962882592e-02       5.016393281034e-17 
       1.380384264603e-02       5.295768024367e-17 
       1.412537544623e-02       5.590151603996e-17 
       1.445439770746e-02       5.900324362069e-17 
       1.479108388168e-02       6.227110589049e-17 
       1.513561248436e-02       6.571346629548e-17 
       1.548816618912e-02       6.933949199712e-17 
       1.584893192461e-02       7.315836262103e-17 
       1.621810097359e-02       7.718019408172e-17 
       1.659586907438e-02       8.141504482524e-17 
       1.698243652462e-02       8.587408367107e-17 
       1.737800828749e-02       9.056832143853e-17 
       1.778279410039e-02       9.551005818179e-17 
       1.819700858610e-02       1.007115556669e-16 
       1.862087136663e-02       1.061861025426e-16 
       1.905460717963e-02       1.119472627433e-16 
       1.949844599758e-02       1.180096149179e-16 
       1.995262314969e-02       1.243881015939e-16 
       2.041737944670e-02       1.310960635210e-16 
       2.089296130854e-02       1.381467368489e-16 
