1.000000e-04 2.765680e-11
1.018114e-04 2.906038e-11
1.036556e-04 3.053489e-11
1.055332e-04 3.208388e-11
1.074448e-04 3.371111e-11
1.093911e-04 3.542051e-11
1.113726e-04 3.721621e-11
1.133900e-04 3.910254e-11
1.154439e-04 4.108407e-11
1.175351e-04 4.316557e-11
1.196641e-04 4.535207e-11
1.218317e-04 4.764883e-11
1.240386e-04 5.006141e-11
1.262854e-04 5.259559e-11
1.285729e-04 5.525751e-11
1.309019e-04 5.805355e-11
1.332730e-04 6.099045e-11
1.356871e-04 6.407527e-11
1.381450e-04 6.731543e-11
1.406473e-04 7.071872e-11
1.431950e-04 7.429332e-11
1.457888e-04 7.804781e-11
1.484296e-04 8.199119e-11
1.511183e-04 8.613294e-11
1.538556e-04 9.048299e-11
1.566426e-04 9.505176e-11
1.594800e-04 9.985021e-11
1.623688e-04 1.048898e-10
1.653099e-04 1.101827e-10
1.683044e-04 1.157414e-10
1.713530e-04 1.215794e-10
1.744569e-04 1.277105e-10
1.776170e-04 1.341494e-10
1.808343e-04 1.409116e-10
1.841100e-04 1.480131e-10
1.874449e-04 1.554709e-10
1.908403e-04 1.633028e-10
1.942972e-04 1.715275e-10
1.978167e-04 1.801646e-10
2.013999e-04 1.892347e-10
2.050481e-04 1.987593e-10
2.087623e-04 2.087610e-10
2.125438e-04 2.192638e-10
2.163938e-04 2.302924e-10
2.203136e-04 2.418733e-10
2.243043e-04 2.540338e-10
2.283674e-04 2.668029e-10
2.325040e-04 2.802108e-10
2.367156e-04 2.942894e-10
2.410034e-04 3.090721e-10
2.453689e-04 3.245939e-10
2.498135e-04 3.408916e-10
2.543387e-04 3.580038e-10
2.589457e-04 3.759710e-10
2.636363e-04 3.948358e-10
2.684118e-04 4.146427e-10
2.732738e-04 4.354386e-10
2.782238e-04 4.572726e-10
2.832636e-04 4.801963e-10
2.883946e-04 5.042639e-10
2.936186e-04 5.295322e-10
2.989372e-04 5.560607e-10
3.043521e-04 5.839120e-10
3.098651e-04 6.131518e-10
3.154780e-04 6.438490e-10
3.211926e-04 6.760752e-10
3.270106e-04 7.099050e-10
3.329341e-04 7.454178e-10
3.389648e-04 7.826967e-10
3.451048e-04 8.218292e-10
3.513560e-04 8.629067e-10
3.577205e-04 9.060255e-10
3.642002e-04 9.512863e-10
3.707973e-04 9.987950e-10
3.775139e-04 1.048662e-09
3.843522e-04 1.101005e-09
3.913143e-04 1.155945e-09
3.984026e-04 1.213611e-09
4.056192e-04 1.274136e-09
4.129666e-04 1.337662e-09
4.204471e-04 1.404337e-09
4.280630e-04 1.474316e-09
4.358170e-04 1.547762e-09
4.437113e-04 1.624844e-09
4.517487e-04 1.705744e-09
4.599317e-04 1.790647e-09
4.682628e-04 1.879752e-09
4.767449e-04 1.973265e-09
4.853807e-04 2.071402e-09
4.941728e-04 2.174391e-09
5.031243e-04 2.282471e-09
5.122378e-04 2.395891e-09
5.215165e-04 2.514912e-09
5.309632e-04 2.639810e-09
5.405811e-04 2.770872e-09
5.503731e-04 2.908403e-09
5.603426e-04 3.052717e-09
5.704926e-04 3.204149e-09
5.808265e-04 3.363047e-09
5.913475e-04 3.529777e-09
6.020592e-04 3.704722e-09
